Simplified Chinese,Pinyin,Meaning,Audio
哪儿,nǎér,"where?, wherever, anywhere",[sound:哪儿.mp3]
哪些,nǎxiē,"which ones?, who?, what?",[sound:哪些.mp3]
那,nà,that,[sound:那.mp3]
那边,nàbiān,"over there, yonder",[sound:那边.mp3]
那里,nàlǐ,"there, that place",[sound:那里.mp3]
那儿,nàér,there,[sound:那儿.mp3]
那些,nàxiē,those,[sound:那些.mp3]
奶,nǎi,"mother, variant of 奶[nai3]",[sound:奶.mp3]
奶奶,nǎinǎi,"(informal) grandma (paternal grandmother), (respectful) mistress of the house, CL:位[wei4], (coll.) boobies, breasts",[sound:奶奶.mp3]
男,nán,"male, Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], CL:個|个[ge4]",[sound:男.mp3]
男孩儿,nánháiér,erhua variant of 男孩[nan2 hai2],[sound:男孩儿.mp3]
男朋友,nánpéngyǒu,boyfriend,[sound:男朋友.mp3]
男人,nánrén,"a man, a male, men, CL:個|个[ge4]",[sound:男人.mp3]
男生,nánshēng,"schoolboy, male student, boy, guy (young adult male)",[sound:男生.mp3]
南,nán,south,[sound:南.mp3]
南边,nánbiān,"south, south side, southern part, to the south of",[sound:南边.mp3]
难,nán,"disaster, distress, to scold",[sound:难.mp3]
呢,ní,woolen material,[sound:呢.mp3]
能,néng,"can, to be able to, might possibly, ability, (physics) energy",[sound:能.mp3]
你,nǐ,"you (informal, as opposed to courteous 您[nin2])",[sound:你.mp3]
你们,nǐmen,you (plural),[sound:你们.mp3]
年,nián,year,[sound:年.mp3]
您,nín,"you (courteous, as opposed to informal 你[ni3])",[sound:您.mp3]
牛奶,níunǎi,"cow's milk, CL:瓶[ping2],杯[bei1]",[sound:牛奶.mp3]
女,nv̌,female,[sound:女.mp3]
女儿,nv̌ér,daughter,[sound:女儿.mp3]
女孩儿,nv̌háiér,erhua variant of 女孩[nu:3 hai2],[sound:女孩儿.mp3]
女朋友,nv̌péngyǒu,girlfriend,[sound:女朋友.mp3]
女人,nv̌rén,wife,[sound:女人.mp3]
女生,nv̌shēng,"schoolgirl, female student, girl",[sound:女生.mp3]
旁边,pángbiān,"lateral, side, to the side, beside",[sound:旁边.mp3]
跑,pǎo,"to run, to run away, to escape, to run around (on errands etc), (of a gas or liquid) to leak or evaporate, (verb complement) away, off",[sound:跑.mp3]
朋友,péngyǒu,"friend, CL:個|个[ge4],位[wei4]",[sound:朋友.mp3]
票,piào,"ticket, ballot, banknote, CL:張|张[zhang1], person held for ransom, amateur performance of Chinese opera, classifier for groups, batches, business transactions",[sound:票.mp3]
七,qī,"seven, 7",[sound:七.mp3]
起,qǐ,"to rise, to raise, to get up, to set out, to start, to appear, to launch, to initiate (action), to draft, to establish, to get (from a depot or counter), verb suffix, to start, starting from (a time, place, price etc), classifier for occurrences or unpredictable events: case, instance, classifier for groups: batch, group",[sound:起.mp3]
起床,qǐchuáng,"to get out of bed, to get up",[sound:起床.mp3]
起来,qǐlái,"(after a verb) indicating the beginning and continuation of an action or a state, indicating an upward movement (e.g. after 站[zhan4]), bringing things together (e.g. after 收拾[shou1 shi5]), (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment, also pr. [qi3 lai5]",[sound:起来.mp3]
汽车,qìchē,"car, automobile, bus, CL:輛|辆[liang4]",[sound:汽车.mp3]
前,qián,"front, forward, ahead, first, top (followed by a number), future, ago, before, BC (e.g. 前293年), former, formerly",[sound:前.mp3]
前边,qiánbiān,"front, the front side, in front of",[sound:前边.mp3]
前天,qiántiān,the day before yesterday,[sound:前天.mp3]
钱,qián,"coin, money, CL:筆|笔[bi3], unit of weight, one tenth of a tael 兩|两[liang3]",[sound:钱.mp3]
钱包,qiánbāo,"purse, wallet",[sound:钱包.mp3]
请,qǐng,"to ask, to invite, please (do sth), to treat (to a meal etc), to request",[sound:请.mp3]
请假,qǐngjiǎ,to request leave of absence,[sound:请假.mp3]
请进,qǐngjìn,"""please come in""",[sound:请进.mp3]
请问,qǐngwèn,"Excuse me, may I ask...?",[sound:请问.mp3]
请坐,qǐngzuò,"please, sit down",[sound:请坐.mp3]
球,qíu,"ball, sphere, globe, CL:個|个[ge4], ball game, match, CL:場|场[chang3]",[sound:球.mp3]
去,qù,"to go, to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)",[sound:去.mp3]
去年,qùnián,last year,[sound:去年.mp3]
热,rè,"to warm up, to heat up, hot (of weather), heat, fervent",[sound:热.mp3]
人,rén,"man, person, people, CL:個|个[ge4],位[wei4]",[sound:人.mp3]
